,alpha,alpha_err,beta,beta_err,step,step_err,sigma,alpha_true,beta_true,gamma_true,sigmaint
0,0.20895451,0.00410674,2.4992456,0.018191127,0.018334497,0.008145287,0.07024693,-0.2,2.5,0.0,0.07
1,0.21132289,0.0066651823,2.5192132,0.02355944,0.018656787,0.013573299,0.12376436,-0.2,2.5,0.0,0.12
2,0.20110184,0.008668609,2.505912,0.036427747,0.0003175353,0.018271454,0.16460821,-0.2,2.5,0.0,0.17
3,0.20631148,0.0038770624,2.5018902,0.015489817,0.112711035,0.0079897335,0.067638904,-0.2,2.5,0.1,0.07
4,0.20271194,0.007318223,2.422891,0.026517773,0.10684201,0.015513036,0.12180476,-0.2,2.5,0.1,0.12
5,0.19867826,0.00911589,2.4927802,0.034865793,0.11251972,0.01921974,0.1696247,-0.2,2.5,0.1,0.17
6,0.20549494,0.003769505,2.5085764,0.013652641,0.21064001,0.007672525,0.06194099,-0.2,2.5,0.2,0.07
7,0.20538008,0.006913616,2.4754326,0.027989084,0.21489322,0.01371468,0.12522064,-0.2,2.5,0.2,0.12
8,0.2016594,0.008933057,2.4646766,0.03686579,0.17577587,0.01796315,0.17108184,-0.2,2.5,0.2,0.17
9,0.15037467,0.0037894587,2.4797459,0.014464547,0.0033759526,0.007807674,0.06966065,-0.15,2.5,0.0,0.07
10,0.15201387,0.006813557,2.5291238,0.027032577,0.008044357,0.014308352,0.12908165,-0.15,2.5,0.0,0.12
11,0.15221408,0.008778244,2.4885633,0.038012765,-0.0043892227,0.018719636,0.16935782,-0.15,2.5,0.0,0.17
12,0.14133303,0.0044385283,2.477192,0.016519258,0.09515673,0.009286752,0.07436148,-0.15,2.5,0.1,0.07
13,0.14604554,0.0061922106,2.4767199,0.029575119,0.084261835,0.012939938,0.12325041,-0.15,2.5,0.1,0.12
14,0.14737855,0.008975519,2.5276783,0.03454015,0.089854956,0.019006105,0.17359667,-0.15,2.5,0.1,0.17
15,0.14079663,0.0036632493,2.5251596,0.014224099,0.19042842,0.0073364875,0.06760473,-0.15,2.5,0.2,0.07
16,0.14890786,0.0061371503,2.4995015,0.023559984,0.19733997,0.012436167,0.11929315,-0.15,2.5,0.2,0.12
17,0.16306365,0.0089896,2.478692,0.038585164,0.22788735,0.01864492,0.16901089,-0.15,2.5,0.2,0.17
18,0.10172452,0.0039597293,2.5054142,0.01668846,0.00010514431,0.008271694,0.06604575,-0.1,2.5,0.0,0.07
19,0.10156317,0.0063988594,2.4717882,0.025726555,0.0029324202,0.013788636,0.11983741,-0.1,2.5,0.0,0.12
20,0.09239956,0.008913996,2.5172415,0.03997977,0.0011438676,0.019522939,0.17066775,-0.1,2.5,0.0,0.17
21,0.106589206,0.0039272867,2.4884,0.015633188,0.10822686,0.00791067,0.06964213,-0.1,2.5,0.1,0.07
22,0.08720085,0.0060624005,2.465676,0.026070466,0.0678969,0.01276083,0.123723015,-0.1,2.5,0.1,0.12
23,0.098354414,0.008405701,2.4969618,0.037974857,0.08971684,0.018145517,0.17352594,-0.1,2.5,0.1,0.17
24,0.102865286,0.0043455465,2.4892132,0.01618039,0.2102184,0.008976363,0.072277926,-0.1,2.5,0.2,0.07
25,0.09545699,0.0063490584,2.5200386,0.028506078,0.19003601,0.013365028,0.12519369,-0.1,2.5,0.2,0.12
26,0.09516986,0.008234923,2.481796,0.03584547,0.18264726,0.01805965,0.1686714,-0.1,2.5,0.2,0.17
27,0.20406099,0.0034732188,3.5044162,0.015882391,0.014324698,0.00732864,0.062273845,-0.2,3.5,0.0,0.07
28,0.19288483,0.00632554,3.4737055,0.025270792,-0.004659259,0.012911545,0.11933903,-0.2,3.5,0.0,0.12
29,0.18692103,0.009522858,3.4691331,0.036616843,-0.014344368,0.019731026,0.17160276,-0.2,3.5,0.0,0.17
30,0.21060431,0.0034085985,3.4965732,0.015131069,0.1070286,0.007079367,0.060248967,-0.2,3.5,0.1,0.07
31,0.19457865,0.006162096,3.5013602,0.02636667,0.08951779,0.012158364,0.12334274,-0.2,3.5,0.1,0.12
32,0.19156244,0.008390962,3.434956,0.033754192,0.09766841,0.017923377,0.17649749,-0.2,3.5,0.1,0.17
33,0.193106,0.0042936685,3.5440075,0.0145922685,0.1885343,0.009137948,0.07189816,-0.2,3.5,0.2,0.07
