,alpha,alpha_err,beta,beta_err,step,step_err,sigma,alpha_true,beta_true,gamma_true,sigmaint
0,0.17761187,0.004619343,2.3695853,0.01769394,-0.035764035,0.009572004,0.076032385,-0.2,2.5,0.0,0.07
1,0.17016253,0.005576481,2.3824234,0.0224192,-0.05445728,0.012021425,0.121352024,-0.2,2.5,0.0,0.12
2,0.18311246,0.007268834,2.4080596,0.02848972,-0.03242191,0.014874377,0.17101139,-0.2,2.5,0.0,0.17
3,0.16352908,0.0046308287,2.3991416,0.017490432,0.03842964,0.0095329555,0.08107218,-0.2,2.5,0.1,0.07
4,0.18706313,0.00570546,2.3972974,0.023574114,0.06915367,0.012022662,0.12111918,-0.2,2.5,0.1,0.12
5,0.17677782,0.0068138354,2.3917267,0.026940053,0.06521754,0.014214161,0.16565445,-0.2,2.5,0.1,0.17
6,0.1737407,0.004427972,2.3632903,0.017699039,0.1584347,0.009227579,0.07258246,-0.2,2.5,0.2,0.07
7,0.17292573,0.0057142517,2.3986125,0.022472573,0.14848731,0.011779232,0.12156258,-0.2,2.5,0.2,0.12
8,0.16777797,0.007033522,2.374414,0.028502755,0.1394332,0.014468537,0.1656706,-0.2,2.5,0.2,0.17
9,0.12060033,0.004373033,2.3987315,0.016359031,-0.05151521,0.009142805,0.072405756,-0.15,2.5,0.0,0.07
10,0.12964535,0.00565856,2.311436,0.020995054,-0.034886923,0.0115655,0.11879235,-0.15,2.5,0.0,0.12
11,0.1323841,0.0071983635,2.3193672,0.028423266,-0.025923844,0.015160703,0.17044424,-0.15,2.5,0.0,0.17
12,0.13435473,0.0044318256,2.4100945,0.017005134,0.07004012,0.00919969,0.07623111,-0.15,2.5,0.1,0.07
13,0.13080686,0.0057319785,2.4040377,0.021623282,0.07100727,0.011625663,0.11763095,-0.15,2.5,0.1,0.12
14,0.1315846,0.0069726044,2.3640726,0.027559021,0.08233238,0.014871145,0.17202488,-0.15,2.5,0.1,0.17
15,0.12998536,0.0045382916,2.3646395,0.018674117,0.15963571,0.009491918,0.08145185,-0.15,2.5,0.2,0.07
16,0.12088663,0.005994103,2.395348,0.02233606,0.15458153,0.012221156,0.12767567,-0.15,2.5,0.2,0.12
17,0.114323616,0.00676557,2.437612,0.029360406,0.14490062,0.01444352,0.17045955,-0.15,2.5,0.2,0.17
18,0.08634173,0.0041223885,2.354631,0.01766033,-0.026777243,0.0087754475,0.069040306,-0.1,2.5,0.0,0.07
19,0.07106118,0.005643927,2.3967319,0.021818073,-0.0495347,0.011677148,0.123223625,-0.1,2.5,0.0,0.12
20,0.08715386,0.006930452,2.3809295,0.026834039,-0.009951399,0.014801545,0.16885616,-0.1,2.5,0.0,0.17
21,0.08784715,0.004324437,2.3841512,0.016052572,0.07701156,0.009115403,0.07100661,-0.1,2.5,0.1,0.07
22,0.08301475,0.005286185,2.3915498,0.020804686,0.07476214,0.011034527,0.11518371,-0.1,2.5,0.1,0.12
23,0.08165071,0.0068401177,2.3841925,0.02734612,0.0743442,0.014591004,0.17016378,-0.1,2.5,0.1,0.17
24,0.081813194,0.004312489,2.3935933,0.01711878,0.16909914,0.009020709,0.07764912,-0.1,2.5,0.2,0.07
25,0.08951947,0.005603091,2.375145,0.022640558,0.1911774,0.011795422,0.12617835,-0.1,2.5,0.2,0.12
26,0.08305389,0.0071276757,2.379224,0.02704309,0.18063012,0.014581257,0.16972163,-0.1,2.5,0.2,0.17
